symbol,timeframe,time,open,high,low,close
XAUUSD,M15,2026.09.22 07:00:00,4341.66,4341.87,4334.96,4338.34
XAUUSD,M15,2026.09.22 07:15:00,4338.30,4339.52,4335.90,4337.45
XAUUSD,M15,2026.09.22 07:30:00,4337.44,4341.08,4336.33,4340.18
XAUUSD,M15,2026.09.22 07:45:00,4340.17,4343.03,4338.82,4342.82
XAUUSD,M15,2026.09.22 08:00:00,4342.82,4347.32,4340.56,4346.24
XAUUSD,M15,2026.09.22 08:15:00,4346.24,4346.68,4322.90,4331.98
XAUUSD,M15,2026.09.22 08:30:00,4331.95,4333.17,4316.26,4320.65
XAUUSD,M15,2026.09.22 08:45:00,4320.64,4333.09,4319.79,4323.63
XAUUSD,M15,2026.09.22 09:00:00,4323.62,4324.31,4315.11,4319.58
XAUUSD,M15,2026.09.22 09:15:00,4319.57,4320.79,4315.72,4318.23
XAUUSD,M15,2026.09.22 09:30:00,4318.20,4320.84,4315.52,4320.24
XAUUSD,M15,2026.09.22 09:45:00,4320.23,4321.75,4315.21,4318.54
XAUUSD,M15,2026.09.22 10:00:00,4318.42,4322.89,4315.04,4320.34
XAUUSD,M15,2026.09.22 10:15:00,4320.35,4324.22,4315.19,4315.33
XAUUSD,M15,2026.09.22 10:30:00,4315.35,4315.61,4308.88,4310.81
XAUUSD,M15,2026.09.22 10:45:00,4310.78,4315.92,4299.62,4301.13
XAUUSD,M15,2026.09.22 11:00:00,4301.13,4312.06,4299.15,4303.72
XAUUSD,M15,2026.09.22 11:15:00,4303.73,4307.12,4298.23,4301.00
XAUUSD,M15,2026.09.22 11:30:00,4301.04,4321.67,4291.52,4320.24
XAUUSD,M15,2026.09.22 11:45:00,4320.24,4335.43,4315.89,4330.15
XAUUSD,M15,2026.09.22 12:00:00,4330.10,4331.12,4316.72,4318.34
XAUUSD,M15,2026.09.22 12:15:00,4318.33,4323.67,4314.29,4314.54
XAUUSD,M15,2026.09.22 12:30:00,4314.54,4320.46,4312.01,4320.20
XAUUSD,M15,2026.09.22 12:45:00,4320.19,4337.80,4318.77,4336.62
XAUUSD,M15,2026.09.22 13:00:00,4336.61,4338.04,4328.96,4330.76
XAUUSD,M15,2026.09.22 13:15:00,4330.75,4332.21,4328.31,4329.63
XAUUSD,M15,2026.09.22 13:30:00,4329.64,4333.89,4327.87,4330.97
XAUUSD,M15,2026.09.22 13:45:00,4331.10,4331.41,4321.72,4321.76
